mae,rmse,crps,dir_acc,coverage,interval_width,mase,actual,predicted,q10,q90,origin_price,as_of,horizon,regime,c2_median,bolt_median,signed_error
2.1513290405273438,2.1513290405273438,1.1992454528808594,1.0,1.0,25.220718,0.40287030753294995,73.37000274658203,71.21867,60.007195,85.22791,68.02999877929688,2024-07-23,90,sideways,72.441086,69.385056,-2.1513290405273438
6.786933898925781,6.786933898925781,1.6234774271647137,0.0,1.0,14.769653,1.6159378167563423,73.0,66.213066,59.30345,74.073105,68.80000305175781,2024-08-20,30,sideways,68.68623,62.50331,-6.786933898925781
1.8659439086914062,1.8659439086914062,1.0223449707031251,1.0,1.0,21.34063,62.18484617340452,68.7699966430664,66.90405,57.23501,78.57564,68.80000305175781,2024-08-20,60,sideways,69.38752,63.178837,-1.8659439086914062
1.4092025756835938,1.4092025756835938,1.0001625061035155,1.0,1.0,22.958862,28.182331400671345,68.75,67.3408,57.238373,80.197235,68.80000305175781,2024-08-20,90,sideways,69.87883,63.533737,-1.4092025756835938
1.5336151123046875,1.5336151123046875,0.7407554626464844,0.0,1.0,14.554588,1.7427498851252352,70.55999755859375,69.02638,62.18154,76.73613,69.68000030517578,2024-09-18,30,up,71.45172,65.388374,-1.5336151123046875
0.5547103881835938,0.5547103881835938,0.7722188313802083,0.0,1.0,20.393013,1.1802318031296668,70.1500015258789,69.59529,60.231796,80.62481,69.68000030517578,2024-09-18,60,up,72.08371,65.862656,-0.5547103881835938
3.1067047119140625,3.1067047119140625,1.2654319763183592,0.0,1.0,22.429436,1.2890871332514466,67.2699966430664,70.3767,60.619385,83.04882,69.68000030517578,2024-09-18,90,up,72.49952,67.192474,3.1067047119140625
1.7113494873046875,1.7113494873046875,0.7553578694661458,1.0,1.0,14.103989,0.8110658731134429,73.37000274658203,71.65865,64.83663,78.94062,71.26000213623047,2024-10-16,30,sideways,71.348434,72.12398,-1.7113494873046875
5.421867370605469,5.421867370605469,1.572175089518229,0.0,1.0,20.055916,1.2757334989659928,67.01000213623047,72.43187,63.02256,83.078476,71.26000213623047,2024-10-16,60,sideways,71.68486,73.55238,5.421867370605469
6.673164367675781,6.673164367675781,1.8417780558268229,0.0,1.0,21.88752,1.2590868915561364,65.95999908447266,72.63316,62.428642,84.31616,71.26000213623047,2024-10-16,90,sideways,72.019325,73.55392,6.673164367675781
0.835418701171875,0.835418701171875,0.5638081868489583,0.0,1.0,12.737152,5.569401352932201,68.75,69.58542,63.393326,76.13048,68.9000015258789,2024-11-13,30,down,70.01941,68.93444,0.835418701171875
3.3168106079101562,3.3168106079101562,1.1432960510253907,0.0,1.0,17.714828,1.405427860214011,66.54000091552734,69.85681,61.46167,79.1765,68.9000015258789,2024-11-13,60,down,70.293396,69.20192,3.3168106079101562
4.616523742675781,4.616523742675781,1.4030097961425778,0.0,1.0,19.007675,1.2277981701638088,65.13999938964844,69.75652,60.836327,79.844,68.9000015258789,2024-11-13,90,down,70.533775,68.59064,4.616523742675781
3.0664901733398438,3.0664901733398438,0.9518675486246743,0.0,1.0,13.223576,1.08740798056398,67.2699966430664,70.33649,63.905956,77.12953,70.08999633789062,2024-12-12,30,sideways,70.41571,70.217636,3.0664901733398438
4.693473815917969,4.693473815917969,1.4046793619791664,0.0,1.0,18.673012,1.1475496377433387,66.0,70.693474,61.794716,80.46773,70.08999633789062,2024-12-12,60,sideways,71.36787,69.68188,4.693473815917969
2.2203826904296875,2.2203826904296875,1.0384026845296221,0.0,1.0,20.050167,1.6570065362454167,68.75,70.97038,61.803776,81.85394,70.08999633789062,2024-12-12,90,sideways,71.85428,69.64453,2.2203826904296875
1.3530654907226562,1.3530654907226562,0.6429686228434245,1.0,1.0,12.523731,0.8053959791281602,65.95999908447266,67.313065,61.17042,73.69415,67.63999938964844,2025-01-13,30,down,68.103966,66.12671,1.3530654907226562
1.7315826416015625,1.7315826416015625,0.9315378824869791,1.0,1.0,19.288223,0.8285098926772286,65.55000305175781,67.281586,58.146942,77.435165,67.63999938964844,2025-01-13,60,down,68.21167,65.88645,1.7315826416015625
1.4118270874023438,1.4118270874023438,0.9614645640055338,1.0,1.0,21.784801,0.8992530967086688,66.06999969482422,67.48183,57.183407,78.96821,67.63999938964844,2025-01-13,90,down,68.14543,66.48642,1.4118270874023438
0.5146942138671875,0.5146942138671875,0.4265920003255208,1.0,1.0,10.224289,0.2277405873277902,65.13999938964844,65.65469,60.789047,71.013336,67.4000015258789,2025-02-11,30,sideways,66.425026,64.49918,0.5146942138671875
4.957794189453125,4.957794189453125,1.3525355021158854,0.0,1.0,15.787094,1.6149168346210527,70.47000122070312,65.51221,58.33477,74.121864,67.4000015258789,2025-02-11,60,sideways,66.12425,64.59413,-4.957794189453125
1.9731674194335938,1.9731674194335938,0.902130889892578,1.0,1.0,17.19809,0.587252101489094,64.04000091552734,66.01317,57.97177,75.16986,67.4000015258789,2025-02-11,90,sideways,66.75463,64.90098,1.9731674194335938
2.423431396484375,2.423431396484375,0.7873629252115886,0.0,1.0,11.503731,1.3691728772354814,68.75,66.32657,60.810974,72.314705,66.9800033569336,2025-03-12,30,down,66.32541,66.32831,-2.423431396484375
1.4347686767578125,1.4347686767578125,0.7765457153320311,1.0,1.0,16.122528,0.8856581754475198,65.36000061035156,66.79477,59.364914,75.48744,66.9800033569336,2025-03-12,60,down,66.74296,66.87248,1.4347686767578125
0.32007598876953125,0.32007598876953125,0.613153839111328,0.0,1.0,16.794235,2.286267029972752,67.12000274658203,66.79993,59.28865,76.082886,66.9800033569336,2025-03-12,90,down,66.96069,66.55876,-0.32007598876953125
0.25072479248046875,0.25072479248046875,0.46970036824544265,1.0,1.0,12.837387,0.44772479564032697,66.06999969482422,66.320724,60.178696,73.01608,66.62999725341797,2025-04-09,30,down,66.0288,66.758606,0.25072479248046875
1.1267318725585938,1.1267318725585938,0.7611700693766276,0.0,1.0,17.201443,1.1615869245471493,65.66000366210938,66.786736,58.726856,75.9283,66.62999725341797,2025-04-09,60,down,66.701584,66.91446,1.1267318725585938
0.7276687622070312,0.7276687622070312,0.7345706939697264,0.0,1.0,18.398777,1.37296309091956,66.0999984741211,66.82767,58.42059,76.81937,66.62999725341797,2025-04-09,90,down,66.86671,66.7691,0.7276687622070312
5.471702575683594,5.471702575683594,1.3417221069335936,0.0,1.0,12.89315,2.064792235871953,64.04000091552734,69.5117,63.404755,76.297905,66.69000244140625,2025-05-08,30,up,70.22109,68.44762,5.471702575683594
5.1526641845703125,5.1526641845703125,1.45652338663737,0.0,1.0,17.93238,2.2698918442934253,64.41999816894531,69.57266,61.313087,79.24547,66.69000244140625,2025-05-08,60,up,69.85147,69.15444,5.1526641845703125
4.426338195800781,4.426338195800781,1.355030568440755,0.0,1.0,18.519226,3.4852939409594983,65.41999816894531,69.84634,61.457115,79.97634,66.69000244140625,2025-05-08,90,up,69.71347,70.04563,4.426338195800781
1.6593399047851562,1.6593399047851562,0.6172640482584636,0.0,1.0,10.221222,1.1062266031901042,67.12000274658203,65.46066,60.633118,70.85434,65.62000274658203,2025-06-06,30,sideways,66.1219,64.468796,-1.6593399047851562
1.0497665405273438,1.0497665405273438,0.673889414469401,0.0,1.0,14.96785,2.560383327130629,65.20999908447266,66.259766,59.35086,74.31871,65.62000274658203,2025-06-06,60,sideways,66.393906,66.05854,1.0497665405273438
2.966869354248047,2.966869354248047,1.028342564900716,0.0,1.0,16.01593,1.4615101296055835,63.59000015258789,66.55687,59.210655,75.226585,65.62000274658203,2025-06-06,90,sideways,66.3112,66.92536,2.966869354248047
1.0685577392578125,1.0685577392578125,0.5216565450032552,1.0,1.0,10.306908,1.505012841039748,66.0999984741211,67.16856,62.38881,72.69572,65.38999938964844,2025-07-07,30,sideways,66.80155,67.719055,1.0685577392578125
4.588581085205078,4.588581085205078,1.2461378733317057,0.0,1.0,14.441231,1.9609319598250456,63.04999923706055,67.63858,61.282158,75.72339,65.38999938964844,2025-07-07,60,sideways,66.77582,68.932724,4.588581085205078
3.7538833618164062,3.7538833618164062,1.123547871907552,0.0,1.0,14.937019,3.475812034643044,64.30999755859375,68.06388,61.58928,76.5263,65.38999938964844,2025-07-07,90,sideways,67.10437,69.50314,3.7538833618164062
0.5202484130859375,0.5202484130859375,0.3951484680175781,1.0,1.0,9.253212,0.6049395858838559,65.41999816894531,65.94025,61.380806,70.63402,64.55999755859375,2025-08-04,30,sideways,65.038284,67.29318,0.5202484130859375
1.6353607177734375,1.6353607177734375,0.7203507741292317,0.0,1.0,13.43372,,64.55999755859375,66.19536,59.809574,73.24329,64.55999755859375,2025-08-04,60,sideways,65.14924,67.76453,1.6353607177734375
2.4423828125,2.4423828125,0.8654327392578125,0.0,1.0,13.751068,3.489133514986376,63.86000061035156,66.30238,59.652588,73.403656,64.55999755859375,2025-08-04,90,sideways,65.71341,67.18583,2.4423828125
2.290447235107422,2.290447235107422,0.6642523447672525,0.0,1.0,8.475334,2.337192147948042,63.59000015258789,65.88045,61.87165,70.346985,64.56999969482422,2025-09-02,30,sideways,65.58647,66.3214,2.290447235107422
4.639820098876953,4.639820098876953,1.1684192657470704,0.0,1.0,11.8534775,1.482370132758732,61.439998626708984,66.07982,60.668236,72.52171,64.56999969482422,2025-09-02,60,sideways,65.84368,66.43403,4.639820098876953
1.6256942749023438,1.6256942749023438,0.6782455444335938,0.0,1.0,12.218895,14.778956859481204,64.45999908447266,66.08569,60.394974,72.61387,64.56999969482422,2025-09-02,90,sideways,65.80561,66.50581,1.6256942749023438
0.4261627197265625,0.4261627197265625,0.3188289642333984,1.0,1.0,7.4340553,0.43046832253142314,64.30999755859375,63.883835,60.354,67.788055,63.31999969482422,2025-09-30,30,down,64.09052,63.573803,-0.4261627197265625
0.084564208984375,0.084564208984375,0.3598060607910156,1.0,1.0,10.371361,0.12255639097744361,64.01000213623047,63.925438,59.21981,69.59117,63.31999969482422,2025-09-30,60,down,64.204346,63.507076,-0.084564208984375
3.150257110595703,3.150257110595703,0.8904468536376952,0.0,1.0,10.96212,1.393920110727578,61.060001373291016,64.21026,59.112953,70.07507,63.31999969482422,2025-09-30,90,down,64.488525,63.79285,3.150257110595703
1.0489654541015625,1.0489654541015625,0.4153338114420573,1.0,1.0,7.215187,0.8814817664256039,63.86000061035156,64.908966,61.484093,68.69928,65.05000305175781,2025-10-28,30,sideways,65.09937,64.62335,1.0489654541015625
1.2235755920410156,1.2235755920410156,0.5378241221110026,1.0,1.0,10.016846,0.9867531740391744,63.810001373291016,65.03358,60.521645,70.53849,65.05000305175781,2025-10-28,60,sideways,65.116066,64.90984,1.2235755920410156
1.3034629821777344,1.3034629821777344,0.5682088216145833,1.0,1.0,10.52895,0.8927810916805798,63.59000015258789,64.89346,59.946033,70.47498,65.05000305175781,2025-10-28,90,sideways,65.01854,64.70584,1.3034629821777344
