mae,rmse,crps,dir_acc,coverage,interval_width,mase,actual,predicted,q10,q90,origin_price,as_of,horizon
41.042459552835496,41.042459552835496,19.231056405107466,0.0,0.0,9.515452364498316,13.368880662115341,73.19999694824219,32.15753739540669,27.46415038128906,36.979602745787375,70.12999725341797,2024-07-22,90
41.63880566496383,41.63880566496383,19.63891054239771,0.0,0.0,8.523696836975994,7.462159307007072,73.55999755859375,31.921191893629917,27.79134161060415,36.31503844758014,67.9800033569336,2024-08-19,30
23.09379579706568,23.09379579706568,10.36034061711011,0.0,0.0,8.98336569853317,13.505150971579344,69.69000244140625,46.59620664434057,42.070849359928914,51.054215058462084,67.9800033569336,2024-08-19,60
26.118027110991832,26.118027110991832,11.826016578481363,1.0,0.0,9.106266739514368,32.647720700496116,68.77999877929688,94.89802589028871,90.28840828529361,99.39467502480798,67.9800033569336,2024-08-19,90
9.427167653184455,9.427167653184455,3.799536324555459,1.0,0.0,7.120609816966315,20.949403523756278,70.36000061035156,60.93283295716711,57.26642662800773,64.38703644497404,70.80999755859375,2024-09-17,30
14.516944367032252,14.516944367032252,6.319355535052485,0.0,0.0,7.26144922162014,10.915043350498502,69.4800033569336,83.99694772396585,80.45345285641291,87.71490207803305,70.80999755859375,2024-09-17,60
50.352677551589665,50.352677551589665,24.203749674994217,0.0,0.0,7.080832363122127,15.735226741153376,67.61000061035156,117.96267816194123,114.33682762322717,121.41765998634929,70.80999755859375,2024-09-17,90
5.289249501981587,5.289249501981587,1.7920879110823984,1.0,0.0,6.363814081877763,2.050101313630123,73.19999694824219,78.48924645022377,75.29525452231081,81.65906860418858,70.62000274658203,2024-10-15,30
17.863823595742446,17.863823595742446,8.16507282727398,0.0,0.0,6.191096841144471,8.426320968000324,68.5,86.36382359574245,83.44419699983627,89.63529384098074,70.62000274658203,2024-10-15,60
30.997895293506986,30.997895293506986,14.626087671400981,0.0,0.0,6.197844484241628,7.542065861361388,66.51000213623047,97.50789742973745,94.26953305525575,100.46737753949738,70.62000274658203,2024-10-15,90
2.496242569924135,2.496242569924135,0.6061142523007187,1.0,1.0,5.702214719400885,249.57094288718247,68.77999877929688,71.27624134922101,68.50799073635936,74.21020545576025,68.7699966430664,2024-11-12,30
11.926501880876259,11.926501880876259,5.182463390904653,0.0,0.0,5.800132804289277,3.798249744950295,65.62999725341797,77.55649913429423,74.63412320526487,80.43425600955415,68.7699966430664,2024-11-12,60
17.453359825134584,17.453359825134584,7.941024513434836,0.0,0.0,5.793984368418421,5.209960529821928,65.41999816894531,82.8733579940799,79.93699335984068,85.7309777282591,68.7699966430664,2024-11-12,90
17.975089623163257,17.975089623163257,8.24839499132483,0.0,0.0,5.423102156302932,7.0768043874627296,67.61000061035156,85.58509023351482,82.82533055711413,88.24843271341706,70.1500015258789,2024-12-11,30
33.78073855095968,33.78073855095968,16.165184591312286,0.0,0.0,5.208918202137667,8.139934007326767,66.0,99.78073855095968,97.08429267824324,102.29321088038091,70.1500015258789,2024-12-11,60
